QuestionID,TextoPergunta,RotuloPT_auto
Q001,De qual região do Brasil é seu escritório?,SudesteSul
Q001,De qual região do Brasil é seu escritório?,SulSudeste
Q001,De qual região do Brasil é seu escritório?,Opção 6
Q001,De qual região do Brasil é seu escritório?,NordesteSudeste
Q001,De qual região do Brasil é seu escritório?,SudesteNordeste
Q001,De qual região do Brasil é seu escritório?,SulNordeste
Q001,De qual região do Brasil é seu escritório?,NordesteNorte
Q001,De qual região do Brasil é seu escritório?,SulNorte
Q001,De qual região do Brasil é seu escritório?,Centro OesteSudeste
Q001,De qual região do Brasil é seu escritório?,NorteSudeste
Q004,Quais classes de ativos seus clientes estão mais interessados?,Ouro
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundo de ações
Q004,Quais classes de ativos seus clientes estão mais interessados?,Previdência
Q004,Quais classes de ativos seus clientes estão mais interessados?,Renda Fixa
Q004,Quais classes de ativos seus clientes estão mais interessados?,Opções
Q004,Quais classes de ativos seus clientes estão mais interessados?,Alternativos
Q004,Quais classes de ativos seus clientes estão mais interessados?,crédito privado
Q004,Quais classes de ativos seus clientes estão mais interessados?,Renda +
Q004,Quais classes de ativos seus clientes estão mais interessados?,DERIVATIVOS AGRICOLAS
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundos Alternativos
Q004,Quais classes de ativos seus clientes estão mais interessados?,Operações estruturadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,Estruturadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,PRODUTOS ESTRUTURADOS
Q004,Quais classes de ativos seus clientes estão mais interessados?,Cetipados
Q004,Quais classes de ativos seus clientes estão mais interessados?,Derivativos
Q004,Quais classes de ativos seus clientes estão mais interessados?,ETF
Q004,Quais classes de ativos seus clientes estão mais interessados?,Compromissadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,Carteiras automatizadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,previdência privada
Q004,Quais classes de ativos seus clientes estão mais interessados?,venda coberta
Q004,Quais classes de ativos seus clientes estão mais interessados?,"CDB, LCI, LCA"
Q004,Quais classes de ativos seus clientes estão mais interessados?,Opcoes
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundos Cetipados
Q004,Quais classes de ativos seus clientes estão mais interessados?,Estruturados
Q004,Quais classes de ativos seus clientes estão mais interessados?,ETF RF
Q004,Quais classes de ativos seus clientes estão mais interessados?,COE
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundos de Inflação / Pré
Q004,Quais classes de ativos seus clientes estão mais interessados?,imoveis
Q004,Quais classes de ativos seus clientes estão mais interessados?,AÇÕES direto
Q004,Quais classes de ativos seus clientes estão mais interessados?,"Operações Estruturadas, Trade Ideas, Câmbio"
Q004,Quais classes de ativos seus clientes estão mais interessados?,COE Bond Repack Pré
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundos ESG e investimento com propósito
Q004,Quais classes de ativos seus clientes estão mais interessados?,Câmbio
Q004,Quais classes de ativos seus clientes estão mais interessados?,cdb
Q004,Quais classes de ativos seus clientes estão mais interessados?,Produtos de crédito
Q004,Quais classes de ativos seus clientes estão mais interessados?,Derivativos operações estruturadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,Pirâmides
Q004,Quais classes de ativos seus clientes estão mais interessados?,"CDB, LCI, LCA CRI, CRA"
Q004,Quais classes de ativos seus clientes estão mais interessados?,Titulos de RF
Q004,Quais classes de ativos seus clientes estão mais interessados?,treasuries
Q004,Quais classes de ativos seus clientes estão mais interessados?,Opções lançamento coberto e pozinho. Operação estruturada não gostam.
Q004,Quais classes de ativos seus clientes estão mais interessados?,LCI e LCA
Q004,Quais classes de ativos seus clientes estão mais interessados?,"Crédito Privado , LCA CDB"
Q004,Quais classes de ativos seus clientes estão mais interessados?,Emissões bancárias e privadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,Títulos de renda fixa
Q004,Quais classes de ativos seus clientes estão mais interessados?,Carteira recomendada
Q004,Quais classes de ativos seus clientes estão mais interessados?,"Lci/Lca, Cri/Cra"
Q004,Quais classes de ativos seus clientes estão mais interessados?,Conta internacional
Q004,Quais classes de ativos seus clientes estão mais interessados?,Conta internacional e Coe RF Pre
Q004,Quais classes de ativos seus clientes estão mais interessados?,venda de opções
Q004,Quais classes de ativos seus clientes estão mais interessados?,Renda fixa internacional
Q004,Quais classes de ativos seus clientes estão mais interessados?,RF
Q004,Quais classes de ativos seus clientes estão mais interessados?,Renda Fixa Pré
Q004,Quais classes de ativos seus clientes estão mais interessados?,renda fixa bancarios - \fgc
Q004,Quais classes de ativos seus clientes estão mais interessados?,Precatorio
Q004,Quais classes de ativos seus clientes estão mais interessados?,carteiras de ações e operações estruturadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,COE alavancado em bolsa americana
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundo Cetipado
Q004,Quais classes de ativos seus clientes estão mais interessados?,Papeis de RF isentos
Q004,Quais classes de ativos seus clientes estão mais interessados?,"Ofertas Públicas (CRI, CRA)"
Q004,Quais classes de ativos seus clientes estão mais interessados?,estratégias de renda recorrente com opções
Q004,Quais classes de ativos seus clientes estão mais interessados?,cambio
Q004,Quais classes de ativos seus clientes estão mais interessados?,Debentures incentivadas
Q004,Quais classes de ativos seus clientes estão mais interessados?,FI-Infra e FIP-IE
Q004,Quais classes de ativos seus clientes estão mais interessados?,Ativos Ipca
Q004,Quais classes de ativos seus clientes estão mais interessados?,LCA e LCI
Q004,Quais classes de ativos seus clientes estão mais interessados?,Carteira Automatizada
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fidc fiagro
Q004,Quais classes de ativos seus clientes estão mais interessados?,Private equity
Q004,Quais classes de ativos seus clientes estão mais interessados?,Operações estruturadas em ações com proteção 100% ex: POP
Q004,Quais classes de ativos seus clientes estão mais interessados?,Credito Privado
Q004,Quais classes de ativos seus clientes estão mais interessados?,automatizada
Q004,Quais classes de ativos seus clientes estão mais interessados?,Credito nprivado
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fixed Income
Q004,Quais classes de ativos seus clientes estão mais interessados?,Conta nos EUA
Q004,Quais classes de ativos seus clientes estão mais interessados?,Fundos Listados
Q004,Quais classes de ativos seus clientes estão mais interessados?,RENDA FIXA BANCÁRIA COM FGC
Q004,Quais classes de ativos seus clientes estão mais interessados?,Muito variado.
Q004,Quais classes de ativos seus clientes estão mais interessados?,Bond Repack
Q004,Quais classes de ativos seus clientes estão mais interessados?,isentos
Q004,Quais classes de ativos seus clientes estão mais interessados?,Ativos indexados ao CDI
Q004,Quais classes de ativos seus clientes estão mais interessados?,Bonds repacks
Q004,Quais classes de ativos seus clientes estão mais interessados?,CRA CRI DEB E BOND
Q004,Quais classes de ativos seus clientes estão mais interessados?,Emissões Bancárias
Q004,Quais classes de ativos seus clientes estão mais interessados?,Crédito Privado isento de IR
Q004,Quais classes de ativos seus clientes estão mais interessados?,"RF CP Estruturados, FIDCs"
Q004,Quais classes de ativos seus clientes estão mais interessados?,previdencia
Q004,Quais classes de ativos seus clientes estão mais interessados?,"FIAGRO, FUNDOS DE INFRA."
