QuestionID,TextoPT,Tipo,ChaveTexto
Q001,De qual região do Brasil é seu escritório?,única,de qual região do brasil é seu escritório?
Q002,"Dentro da sua carteira de clientes, a alocação em renda variável está, na média:",única,"dentro da sua carteira de clientes, a alocação em renda variável está, na média:"
Q003,"Considerando o cenário dos próximos meses, seus clientes:",única,"considerando o cenário dos próximos meses, seus clientes:"
Q004,Quais classes de ativos seus clientes estão mais interessados?,múltipla,quais classes de ativos seus clientes estão mais interessados?
Q005,Qual a porcentagem dos seus clientes que já investem em ativos internacionais?,única,qual a porcentagem dos seus clientes que já investem em ativos internacionais?
Q006,"Em investimentos internacionais, seus clientes se interessam por:",múltipla,"em investimentos internacionais, seus clientes se interessam por:"
Q007,Qual o nível que você espera que o Ibovespa atinja no fim de 2023?,única,qual o nível que você espera que o ibovespa atinja no fim de 2023?
Q008,Qual você acha que deve ser o maior risco para a Bolsa brasileira nos próximos meses,múltipla,qual você acha que deve ser o maior risco para a bolsa brasileira nos próximos meses
Q009,Em quais setores da Bolsa seus clientes estão mais interessados em investir neste momento?,múltipla,em quais setores da bolsa seus clientes estão mais interessados em investir neste momento?
Q010,"Numa escala de 0 a 10, em que 0 representa o mais pessimista e 10 representa o mais otimista, indique o seu sentimento, como assessor, em relação à Bolsa atualmente, comparando com seu próprio histórico.",única,"numa escala de 0 a 10, em que 0 representa o mais pessimista e 10 representa o mais otimista, indique o seu sentimento, como assessor, em relação à bolsa atualmente, comparando com seu próprio histórico."
Q011,"Numa escala de 0 a 10, onde 0 é extremamente negativo e 10 extremamente positivo, qual a sua opinião, como assessor, em relação à direção da política econômica no Brasil?",única,"numa escala de 0 a 10, onde 0 é extremamente negativo e 10 extremamente positivo, qual a sua opinião, como assessor, em relação à direção da política econômica no brasil?"
Q012,"Considerando seu sentimento em relação à Bolsa brasileira antes da EXPERT XP 2023, você diria que após o evento sua visão ficou:",única,"considerando seu sentimento em relação à bolsa brasileira antes da expert xp 2023, você diria que após o evento sua visão ficou:"
Q013,Qual o nível que você espera que a Selic atinja ao fim de 2024?,única,qual o nível que você espera que a selic atinja ao fim de 2024?
Q014,Qual o nível que você espera que o Ibovespa atinja ao fim de 2024?,única,qual o nível que você espera que o ibovespa atinja ao fim de 2024?
Q015,Com qual frequência a carteira dos seus clientes é revisada?,única,com qual frequência a carteira dos seus clientes é revisada?
Q016,Qual dos fatores abaixo aumentaria o apetite por risco dos clientes para alocar em ações brasileiras?,múltipla,qual dos fatores abaixo aumentaria o apetite por risco dos clientes para alocar em ações brasileiras?
Q017,Que tipo de estratégia de investimentos os seus clientes estão mais interessados?,múltipla,que tipo de estratégia de investimentos os seus clientes estão mais interessados?
Q018,Como está o apetite de seus clientes pelo setor de Varejo?,única,como está o apetite de seus clientes pelo setor de varejo?
Q019,"Em relação ao interesse de seus clientes pelos setores de Agro, Alimentos e Bebidas, marque todas que se aplicarem:",múltipla,"em relação ao interesse de seus clientes pelos setores de agro, alimentos e bebidas, marque todas que se aplicarem:"
Q020,Quais são os 3 papéis de maior procura pelos seus clientes?,aberta,quais são os 3 papéis de maior procura pelos seus clientes?
Q021,Seus clientes acompanham a temporada de resultados?,única,seus clientes acompanham a temporada de resultados?
Q022,"Com a alta do dólar, como seus clientes estão se posicionando?",aberta,"com a alta do dólar, como seus clientes estão se posicionando?"
Q023,Em qual nível de Selic seus clientes devem voltar a alocar em renda variável?,única,em qual nível de selic seus clientes devem voltar a alocar em renda variável?
Q024,Qual o nível que você espera que o Ibovespa atinja nos próximos 12 meses?,única,qual o nível que você espera que o ibovespa atinja nos próximos 12 meses?
Q025,Houve alteração nas carteiras de seus clientes após os recentes anúncios de estímulos na China?,única,houve alteração nas carteiras de seus clientes após os recentes anúncios de estímulos na china?
Q026,Houve alteração no sentimento de seus clientes em relação à renda variável após a temporada de resultados do 3o trimestre?,única,houve alteração no sentimento de seus clientes em relação à renda variável após a temporada de resultados do 3o trimestre?
Q027,Houve ou haverá alteração nas carteiras de renda variável de seus clientes em meio às eleições americanas?,única,houve ou haverá alteração nas carteiras de renda variável de seus clientes em meio às eleições americanas?
Q028,Qual o nível que você espera que o Ibovespa atinja ao fim de 2025?,única,qual o nível que você espera que o ibovespa atinja ao fim de 2025?
Q029,Quais características na renda variável que seus clientes estão mais interessados em investir neste momento?,única,quais características na renda variável que seus clientes estão mais interessados em investir neste momento?
Q030,"Como se tornou o sentimento de seus clientes em relação à renda variável após o anúncio do pacote de corte de gastos, comparado ao que era antes?",única,"como se tornou o sentimento de seus clientes em relação à renda variável após o anúncio do pacote de corte de gastos, comparado ao que era antes?"
Q031,"Em períodos de maior incerteza, seus clientes costumam preferir:",única,"em períodos de maior incerteza, seus clientes costumam preferir:"
Q032,"A alta do custo de vida, refletida nas leituras recentes e expectativas para o IPCA, tem levado seus clientes a reduzir os aportes em renda variável?",única,"a alta do custo de vida, refletida nas leituras recentes e expectativas para o ipca, tem levado seus clientes a reduzir os aportes em renda variável?"
Q033,Como está a expectativa de seus clientes para o desempenho das empresas nesta temporada de resultados?,única,como está a expectativa de seus clientes para o desempenho das empresas nesta temporada de resultados?
Q034,Quais tipos de papéis seus clientes preferem evitar?,múltipla,quais tipos de papéis seus clientes preferem evitar?
Q035,Quais estratégias de proteção seus clientes utilizam?,múltipla,quais estratégias de proteção seus clientes utilizam?
Q036,Qual o nível de monitoramento de portfólio que seus clientes fazem?,única,qual o nível de monitoramento de portfólio que seus clientes fazem?
Q037,Qual a frequência de rebalanceamento de portfólio que seus clientes fazem?,única,qual a frequência de rebalanceamento de portfólio que seus clientes fazem?
Q038,Quais estratégias de proteção contra a volatilidade alta seus clientes utilizam?,múltipla,quais estratégias de proteção contra a volatilidade alta seus clientes utilizam?
Q039,Quão confiantes seus clientes estão de que seus portfólios estão bem diversificados em relação aos riscos de mercado?,única,quão confiantes seus clientes estão de que seus portfólios estão bem diversificados em relação aos riscos de mercado?
