AnswerID,QuestionID,RotuloPT,RotuloEN,Ordem,Origem
Q001-A01,Q001,Centro Oeste,Midwest,1,curada
Q001-A02,Q001,Nordeste,Northeast,2,curada
Q001-A03,Q001,Norte,North,3,curada
Q001-A04,Q001,Sudeste,Southeast,4,curada
Q001-A05,Q001,Sul,South,5,curada
Q002-A01,Q002,0% a 25%,0% to 25%,1,curada
Q002-A02,Q002,25% a 50%,25% to 50%,2,curada
Q002-A03,Q002,0% a 10%,0% to 10%,3,curada
Q002-A04,Q002,10% a 25%,10% to 25%,4,curada
Q002-A05,Q002,50% a 75%,50% to 75%,5,curada
Q002-A06,Q002,75% a 100%,75% to 100%,6,curada
Q002-A07,Q002,Total,,7,curada
Q003-A01,Q003,Não pretendem alterar seus investimentos em renda variável,Do not wish to alter them,1,curada
Q003-A02,Q003,Planejam diminuir a alocação em renda variável,Wish to decrease them,2,curada
Q003-A03,Q003,Planejam aumentar a alocação em renda variável,Wish to increase them,3,curada
Q003-A04,Q003,Total,,4,curada
Q004-A01,Q004,Ações,Equities,1,curada
Q004-A02,Q004,Fundos Imobiliários,REITs,2,curada
Q004-A03,Q004,"Investimentos Internacionais (dólar, fundos, ETFs, etc)",International Investments,3,curada
Q004-A04,Q004,Fundos Multimercado,Hedge Funds,4,curada
Q004-A05,Q004,Fundos de Renda Variável,Equities Funds,5,curada
Q004-A06,Q004,Ouro e commodities,Gold,6,curada
Q004-A07,Q004,Fundos de Renda Fixa,Fixed Income Funds,7,curada
Q004-A08,Q004,Tesouro Direto e Renda Fixa,Fixed Income,8,curada
Q004-A09,Q004,Criptoativos,Cryptocurrencies,9,curada
Q004-A10,Q004,Outra,,10,curada
Q005-A01,Q005,0% a 20%,0% to 20%,1,curada
Q005-A02,Q005,20% a 40%,20% to 40%,2,curada
Q005-A03,Q005,40% a 60%,40% to 60%,3,curada
Q005-A04,Q005,60% a 80%,60% to 80%,4,curada
Q005-A05,Q005,80% a 100%,80% to 100%,5,curada
Q005-A06,Q005,0% a 5%,0% to 5%,6,curada
Q005-A07,Q005,5% a 10%,5% to 10%,7,curada
Q005-A08,Q005,10% a 20%,10% to 20%,8,curada
Q005-A09,Q005,20% a 50%,20% to 50%,9,curada
Q005-A10,Q005,Acima de 50%,Above 50%,10,curada
Q006-A01,Q006,Fundos Internacionais,,1,curada
Q006-A02,Q006,Ações internacionais,,2,curada
Q006-A03,Q006,ETFs,,3,curada
Q006-A04,Q006,Dólar,,4,curada
Q006-A05,Q006,Bonds,,5,curada
Q006-A06,Q006,Não estão interessados por investimentos internacionais,,6,curada
Q006-A07,Q006,Outros,,7,curada
Q007-A01,Q007,Entre 125 mil e 135 mil pontos,,1,curada
Q007-A02,Q007,Entre 115 mil e 125 mil pontos,,2,curada
Q007-A03,Q007,Entre 135 mil e 145 mil pontos,,3,curada
Q007-A04,Q007,Entre 105 mil e 115 mil pontos,,4,curada
Q007-A05,Q007,Acima de 145 mil pontos,,5,curada
Q007-A06,Q007,Abaixo de 95 mil pontos,,6,curada
Q007-A07,Q007,Acima de 100 mil pontos,,7,curada
Q007-A08,Q007,Entre 90 mil e 100 mil pontos,,8,curada
Q007-A09,Q007,Entre 80 mil e 90 mil pontos,,9,curada
Q007-A10,Q007,Entre 70 mil e 80 mil pontos,,10,curada
Q007-A11,Q007,Abaixo de 70 mil pontos,,11,curada
Q007-A12,Q007,Acima de 120 mil pontos,,12,curada
Q007-A13,Q007,Entre 100 mil e 120 mil pontos,,13,curada
Q007-A16,Q007,Abaixo de 80 mil pontos,,16,curada
Q007-A17,Q007,Acima de 150 mil pontos,,17,curada
Q007-A18,Q007,Acima de 140 mil pontos,,18,curada
Q007-A19,Q007,Acima de 130 mil pontos,,19,curada
Q007-A20,Q007,Entre 140 e 150 mil pontos,,20,curada
Q007-A21,Q007,Entre 130 e 140 mil pontos,,21,curada
Q007-A22,Q007,Entre 120 mil e 130 mil pontos,,22,curada
Q007-A23,Q007,Entre 110 mil e 120 mil pontos,,23,curada
Q007-A24,Q007,Entre 100 mil e 110 mil pontos,,24,curada
Q007-A25,Q007,Abaixo de 100 mil pontos,,25,curada
Q007-A27,Q007,Abaixo de 110 mil pontos,,27,curada
Q007-A28,Q007,Abaixo de 90 mil pontos,,28,curada
Q007-A29,Q007,Média,,29,curada
Q007-A32,Q007,Entre 130 mil e 140 mil pontos,135000,32,curada
Q007-A36,Q007,Total,,36,curada
Q008-A01,Q008,Crescimento econômico fraco na China,China disapointing economic recovery,1,curada
Q008-A02,Q008,Recessão nos EUA,US recession,2,curada
Q008-A03,Q008,Política monetária mais dura nos mercados desenvolvidos,Tighter monetary policy in DM,3,curada
Q008-A04,Q008,Riscos fiscais no Brasil,Domestic fiscal risks,4,curada
Q008-A05,Q008,Inflação em alta no Brasil,Higher domestic inflation,5,curada
Q008-A06,Q008,Juros mais altos no Brasil,Higher domestic rates,6,curada
Q008-A07,Q008,Dólar mais alto,Strong USD,7,curada
Q008-A08,Q008,Instabilidade política,Political instability,8,curada
Q008-A09,Q008,Riscos geopolíticos,Geopolitical events,9,curada
Q008-A10,Q008,Interferência em empresas estatais,Government intervention on SOEs,10,curada
Q008-A11,Q008,Política tarifária americana,US tariff policy,11,curada
Q008-A12,Q008,Desaceleração econômica global,Global economic slowdown,12,curada
Q008-A13,Q008,Juros mais altos nos mercados desenvolvidos,Higher interest rates in developed markets,13,curada
Q008-A14,Q008,Juros mais altos que o esperado o Brasil,Higher-than-expected interest rates in Brazil,14,curada
Q008-A15,Q008,Instabilidade política/ Eleições,Political instability / elections,15,curada
Q008-A18,Q008,Riscos geopolíticos/ Guerra,Geopolitical risks / war,18,curada
Q008-A19,Q008,Choque do petróleo,Oil shock,19,curada
Q008-A20,Q008,Outra,Others,20,curada
Q008-A21,Q008,"Entre as carteiras recomendas XP, seus clientes se interessam por:",,21,curada
Q008-A22,Q008,Não estão interessados pelas carteiras recomendadas XP,,22,curada
Q008-A23,Q008,Top Dividendos XP,,23,curada
Q008-A24,Q008,Top 10 Ações XP,,24,curada
Q008-A25,Q008,Carteira de Fundos Imobiliários XP,,25,curada
Q008-A26,Q008,Top 10 Ações Internacionais (BDRs) XP,,26,curada
Q008-A27,Q008,Top Small Caps,,27,curada
Q008-A28,Q008,ESG XP,,28,curada
Q008-A29,Q008,Outros,,29,curada
Q009-A01,Q009,Agro,Agribusiness,1,curada
Q009-A02,Q009,Bens de Capital,Capital Goods,2,curada
Q009-A03,Q009,Educação,Education,3,curada
Q009-A04,Q009,Financeiro,Financials,4,curada
Q009-A05,Q009,Alimentos & Bebidas,Food & Beverages,5,curada
Q009-A06,Q009,Saúde,Health Care,6,curada
Q009-A07,Q009,Mineração & Siderurgia,Metals & Mining,7,curada
Q009-A08,Q009,Petróleo & Gás,Oil & Gas,8,curada
Q009-A09,Q009,Papel & Celulose,Pulp & Paper,9,curada
Q009-A10,Q009,Imobiliário,Real Estate,10,curada
Q009-A11,Q009,Varejo,Retail,11,curada
Q009-A12,Q009,"Telecomunicações, Mídia e Tecnologia",TMT,12,curada
Q009-A13,Q009,Elétricas & Saneamento,Utilities,13,curada
Q009-A14,Q009,Transportes,Transportation,14,curada
Q010-A01,Q010,0,,1,curada
Q010-A02,Q010,1,,2,curada
Q010-A03,Q010,2,,3,curada
Q010-A04,Q010,3,,4,curada
Q010-A05,Q010,4,,5,curada
Q010-A06,Q010,5,,6,curada
Q010-A07,Q010,6,,7,curada
Q010-A08,Q010,7,,8,curada
Q010-A09,Q010,8,,9,curada
